City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,rudnya,54.947,31.0934,-4.03,97,100,2.3,RU,1706492403
364,nagqu,31.5,92.0,-13.15,45,100,0.69,CN,1706492403
365,westport,41.1415,-73.3579,3.51,86,100,5.66,US,1706492339
366,dawei,14.0833,98.2,24.92,76,90,1.87,MM,1706492404
367,boise,43.6135,-116.2035,9.3,87,0,0.0,US,1706492341
368,motygino,58.1831,94.7592,-20.68,81,36,4.02,RU,1706492404
369,dryden,49.7833,-92.7503,-1.84,93,100,3.6,CA,1706492404
370,tsengel,49.4783,100.8894,-24.45,88,57,2.01,MN,1706492404
371,kruisfontein,-34.0033,24.7314,17.16,71,30,0.32,ZA,1706492405
372,argo,37.6333,22.7333,7.66,68,32,1.68,GR,1706492405
373,lihue,21.9789,-159.3672,27.98,71,20,9.77,US,1706492405
374,peace river,56.2501,-117.286,2.17,80,20,4.12,CA,1706492345
375,bonthe,7.5264,-12.505,25.65,87,13,2.28,SL,1706492405
376,inarajan village,13.2736,144.7484,27.54,79,96,8.69,GU,1706492405
377,shindand,33.3029,62.1474,8.13,53,0,1.87,AF,1706492406
378,bam,29.106,58.357,11.14,49,70,0.19,IR,1706492390
379,kiunga,-6.1219,141.2906,33.47,47,60,1.96,PG,1706492406
380,constitucion,-35.3333,-72.4167,13.25,92,3,2.57,CL,1706492406
381,bayji,34.9311,43.487,8.07,43,6,2.81,IQ,1706492406
382,praia da vitoria,38.7333,-27.0667,14.31,76,40,5.11,PT,1706492406
383,yeed,4.55,43.0333,25.02,70,100,4.71,SO,1706492407
384,mata-utu,-13.2816,-176.1745,28.81,80,100,8.57,WF,1706492407
385,brokopondo,4.75,-55.1667,25.38,79,67,4.4,SR,1706492407
386,aberdeen,57.1437,-2.0981,7.27,72,100,4.12,GB,1706492123
387,sao jose da coroa grande,-8.8978,-35.1478,26.04,83,91,3.53,BR,1706492407
388,new norfolk,-42.7826,147.0587,19.42,67,98,3.5,AU,1706492407
389,trinity beach,-16.7888,145.6968,33.92,76,100,5.14,AU,1706492407
390,pagar alam,-4.0167,103.2667,22.34,95,96,1.07,ID,1706492408
391,jayapura,-2.5333,140.7,28.66,65,93,1.58,ID,1706492408
392,san andres,12.5847,-81.7006,28.01,78,20,6.17,CO,1706492408
393,ahualulco de mercado,20.7014,-103.9746,20.15,22,61,1.31,MX,1706492408
